Name,Lev,Tm,VH,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS
Matt Adams,MLB-NL,St. Louis,1,Pittsburgh,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Jose Bautista,MLB-AL,Toronto,1,Tampa Bay,1,4,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
Asdrubal Cabrera,MLB-NL,New York,1,Kansas City,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Lorenzo Cain,MLB-AL,Kansas City,0,New York,1,4,2,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0
Eric Campbell,MLB-NL,New York,1,Kansas City,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Carpenter,MLB-NL,St. Louis,1,Pittsburgh,1,5,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
Francisco Cervelli,MLB-NL,Pittsburgh,0,St. Louis,1,4,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1
Yoenis Cespedes,MLB-NL,New York,1,Kansas City,1,5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0
Chris Colabello,MLB-AL,Toronto,1,Tampa Bay,1,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Michael Conforto,MLB-NL,New York,1,Kansas City,1,4,2,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1
Hank Conger,MLB-AL,Tampa Bay,0,Toronto,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Travis d'Arnaud,MLB-NL,New York,1,Kansas City,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Alejandro De Aza,MLB-NL,New York,1,Kansas City,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Dickerson,MLB-AL,Tampa Bay,0,Toronto,1,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Josh Donaldson,MLB-AL,Toronto,1,Tampa Bay,1,5,5,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0
Lucas Duda,MLB-NL,New York,1,Kansas City,1,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
Edwin Encarnacion,MLB-AL,Toronto,1,Tampa Bay,1,4,4,1,2,0,0,0,2,0,0,2,0,0,0,0,0,0
Alcides Escobar,MLB-AL,Kansas City,0,New York,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Logan Forsythe,MLB-AL,Tampa Bay,0,Toronto,1,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
David Freese,MLB-NL,Pittsburgh,0,St. Louis,1,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Rey Fuentes,MLB-AL,Kansas City,0,New York,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Goins,MLB-AL,Toronto,1,Tampa Bay,1,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
Alex Gordon,MLB-AL,Kansas City,0,New York,1,4,4,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
Curtis Granderson,MLB-NL,New York,1,Kansas City,1,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Randal Grichuk,MLB-NL,St. Louis,1,Pittsburgh,1,4,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
Jedd Gyorko,MLB-NL,St. Louis,1,Pittsburgh,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Josh Harrison,MLB-NL,Pittsburgh,0,St. Louis,1,4,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
Jeremy Hazelbaker,MLB-NL,St. Louis,1,Pittsburgh,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Matt Holliday,MLB-NL,St. Louis,1,Pittsburgh,1,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Eric Hosmer,MLB-AL,Kansas City,0,New York,1,4,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Omar Infante,MLB-AL,Kansas City,0,New York,1,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
John Jaso,MLB-NL,Pittsburgh,0,St. Louis,1,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Desmond Jennings,MLB-AL,Tampa Bay,0,Toronto,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Joyce,MLB-NL,Pittsburgh,0,St. Louis,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kevin Kiermaier,MLB-AL,Tampa Bay,0,Toronto,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Juan Lagares,MLB-NL,New York,1,Kansas City,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Liriano,MLB-NL,Pittsburgh,0,St. Louis,1,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Evan Longoria,MLB-AL,Tampa Bay,0,Toronto,1,4,4,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0
Starling Marte,MLB-NL,Pittsburgh,0,St. Louis,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Russell Martin,MLB-AL,Toronto,1,Tampa Bay,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Andrew McCutchen,MLB-NL,Pittsburgh,0,St. Louis,1,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Jordy Mercer,MLB-NL,Pittsburgh,0,St. Louis,1,4,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Brad Miller,MLB-AL,Tampa Bay,0,Toronto,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Yadier Molina,MLB-NL,St. Louis,1,Pittsburgh,1,4,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0
Kendrys Morales,MLB-AL,Kansas City,0,New York,1,4,3,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0
Logan Morrison,MLB-AL,Tampa Bay,0,Toronto,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mike Morse,MLB-NL,Pittsburgh,0,St. Louis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Moss,MLB-NL,St. Louis,1,Pittsburgh,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mike Moustakas,MLB-AL,Kansas City,0,New York,1,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Salvador Perez,MLB-AL,Kansas City,0,New York,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Pham,MLB-NL,St. Louis,1,Pittsburgh,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Pillar,MLB-AL,Toronto,1,Tampa Bay,1,5,5,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Stephen Piscotty,MLB-NL,St. Louis,1,Pittsburgh,1,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Gregory Polanco,MLB-NL,Pittsburgh,0,St. Louis,1,4,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0
Michael Saunders,MLB-AL,Toronto,1,Tampa Bay,1,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Steven Souza Jr.,MLB-AL,Tampa Bay,0,Toronto,1,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Troy Tulowitzki,MLB-AL,Toronto,1,Tampa Bay,1,4,3,1,1,0,0,1,2,1,0,2,0,0,0,0,0,0
Adam Wainwright,MLB-NL,St. Louis,1,Pittsburgh,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Neil Walker,MLB-NL,New York,1,Kansas City,1,4,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Kolten Wong,MLB-NL,St. Louis,1,Pittsburgh,1,4,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
David Wright,MLB-NL,New York,1,Kansas City,1,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Jose Abreu,MLB-AL,Chicago,1,Oakland,1,4,3,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
Cristhian Adames,MLB-NL,Colorado,1,Arizona,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ehire Adrianza,MLB-NL,San Francisco,1,Milwaukee,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Ahmed,MLB-NL,Arizona,0,Colorado,1,4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Yonder Alonso,MLB-AL,Oakland,0,Chicago,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Alvarez,MLB-AL,Baltimore,0,Minnesota,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Elvis Andrus,MLB-AL,Texas,0,Seattle,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nori Aoki,MLB-AL,Seattle,1,Texas,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nolan Arenado,MLB-NL,Colorado,1,Arizona,1,5,5,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0
Erick Aybar,MLB-NL,Atlanta,0,Washington,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Barnes,MLB-NL,Colorado,1,Arizona,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jose Bautista,MLB-AL,Toronto,1,Tampa Bay,1,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Gordon Beckham,MLB-NL,Atlanta,0,Washington,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Brandon Belt,MLB-NL,San Francisco,1,Milwaukee,1,5,4,2,3,2,0,0,1,1,0,0,0,0,0,0,0,0
Adrian Beltre,MLB-AL,Texas,0,Seattle,1,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Charlie Blackmon,MLB-NL,Colorado,1,Arizona,1,6,5,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Gregor Blanco,MLB-NL,San Francisco,1,Milwaukee,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jabari Blash,MLB-NL,San Diego,0,Los Angeles,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Peter Bourjos,MLB-NL,Philadelphia,1,Cincinnati,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ryan Braun,MLB-NL,Milwaukee,0,San Francisco,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Socrates Brito,MLB-NL,Arizona,0,Colorado,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trevor Brown,MLB-NL,San Francisco,1,Milwaukee,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keon Broxton,MLB-NL,Milwaukee,0,San Francisco,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Bruce,MLB-NL,Cincinnati,0,Philadelphia,1,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
Kris Bryant,MLB-NL,Chicago,1,Los Angeles,1,5,3,2,0,0,0,0,1,2,0,2,0,0,0,0,0,0
Madison Bumgarner,MLB-NL,San Francisco,1,Milwaukee,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Billy Burns,MLB-AL,Oakland,0,Chicago,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Burriss,MLB-NL,Philadelphia,1,Cincinnati,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Butler,MLB-AL,Oakland,0,Chicago,1,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Byron Buxton,MLB-AL,Minnesota,1,Baltimore,1,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Melky Cabrera,MLB-AL,Chicago,1,Oakland,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kole Calhoun,MLB-AL,Los Angeles,0,Chicago,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Canha,MLB-AL,Oakland,0,Chicago,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Robinson Cano,MLB-AL,Seattle,1,Texas,1,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Chris Carter,MLB-NL,Milwaukee,0,San Francisco,1,4,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Curt Casali,MLB-AL,Tampa Bay,0,Toronto,1,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Welington Castillo,MLB-NL,Arizona,0,Colorado,1,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Robinson Chirinos,MLB-AL,Texas,0,Seattle,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Shin-Soo Choo,MLB-AL,Texas,0,Seattle,1,4,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Chris Coghlan,MLB-AL,Oakland,0,Chicago,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chris Colabello,MLB-AL,Toronto,1,Tampa Bay,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hank Conger,MLB-AL,Tampa Bay,0,Toronto,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zack Cozart,MLB-NL,Cincinnati,0,Philadelphia,1,4,3,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0
Brandon Crawford,MLB-NL,San Francisco,1,Milwaukee,1,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Carl Crawford,MLB-NL,Los Angeles,1,San Diego,1,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Coco Crisp,MLB-AL,Oakland,0,Chicago,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C.J. Cron,MLB-AL,Los Angeles,0,Chicago,1,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Cruz,MLB-AL,Seattle,1,Texas,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Charlie Culberson,MLB-NL,Los Angeles,1,San Diego,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chris Davis,MLB-AL,Baltimore,0,Minnesota,1,5,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
Khris Davis,MLB-AL,Oakland,0,Chicago,1,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Jorge De La Rosa,MLB-NL,Colorado,1,Arizona,1,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Delino DeShields,MLB-AL,Texas,0,Seattle,1,4,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Ian Desmond,MLB-AL,Texas,0,Seattle,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Corey Dickerson,MLB-AL,Tampa Bay,0,Toronto,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Josh Donaldson,MLB-AL,Toronto,1,Tampa Bay,1,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
Brian Dozier,MLB-AL,Minnesota,1,Baltimore,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Stephen Drew,MLB-NL,Washington,1,Atlanta,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brandon Drury,MLB-NL,Arizona,0,Colorado,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Duffy,MLB-NL,San Francisco,1,Milwaukee,1,5,5,1,2,0,0,1,4,0,0,1,0,0,0,0,0,0
Adam Duvall,MLB-NL,Cincinnati,0,Philadelphia,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Adam Eaton,MLB-AL,Chicago,1,Oakland,1,4,3,1,2,0,1,0,1,0,0,0,1,0,0,0,0,1
A.J. Ellis,MLB-NL,Los Angeles,1,San Diego,1,5,4,1,1,0,0,0,3,1,0,1,0,0,0,0,0,0
Edwin Encarnacion,MLB-AL,Toronto,1,Tampa Bay,1,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Eduardo Escobar,MLB-AL,Minnesota,1,Baltimore,1,4,4,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
Yunel Escobar,MLB-AL,Los Angeles,0,Chicago,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Espinosa,MLB-NL,Washington,1,Atlanta,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Prince Fielder,MLB-AL,Texas,0,Seattle,1,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0
Ramon Flores,MLB-NL,Milwaukee,0,San Francisco,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Forsythe,MLB-AL,Tampa Bay,0,Toronto,1,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Dexter Fowler,MLB-NL,Chicago,1,Los Angeles,1,5,4,3,3,1,0,0,0,1,0,1,0,0,0,0,0,0
Maikel Franco,MLB-NL,Philadelphia,1,Cincinnati,1,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Jeff Francoeur,MLB-NL,Atlanta,0,Washington,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Todd Frazier,MLB-AL,Chicago,1,Oakland,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Freddie Freeman,MLB-NL,Atlanta,0,Washington,1,4,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0
Freddy Galvis,MLB-NL,Philadelphia,1,Cincinnati,1,3,3,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0
Adonis Garcia,MLB-NL,Atlanta,0,Washington,1,4,3,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0
Avisail Garcia,MLB-AL,Chicago,1,Oakland,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Scooter Gennett,MLB-NL,Milwaukee,0,San Francisco,1,4,3,1,2,0,0,1,1,1,0,1,0,0,0,0,0,0
Craig Gentry,MLB-AL,Los Angeles,0,Chicago,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Johnny Giavotella,MLB-AL,Los Angeles,0,Chicago,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Goins,MLB-AL,Toronto,1,Tampa Bay,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Goldschmidt,MLB-NL,Arizona,0,Colorado,1,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Adrian Gonzalez,MLB-NL,Los Angeles,1,San Diego,1,5,4,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0
Carlos Gonzalez,MLB-NL,Colorado,1,Arizona,1,5,5,2,2,0,0,1,1,0,0,2,0,0,0,0,0,0
Phil Gosselin,MLB-NL,Arizona,0,Colorado,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zack Greinke,MLB-NL,Arizona,0,Colorado,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Franklin Gutierrez,MLB-AL,Seattle,1,Texas,1,4,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0
Billy Hamilton,MLB-NL,Cincinnati,0,Philadelphia,1,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
J.J. Hardy,MLB-AL,Baltimore,0,Minnesota,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Bryce Harper,MLB-NL,Washington,1,Atlanta,1,5,3,1,1,0,0,1,1,2,0,0,0,0,0,0,1,0
Jeremy Hellickson,MLB-NL,Philadelphia,1,Cincinnati,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Cesar Hernandez,MLB-NL,Philadelphia,1,Cincinnati,1,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Enrique Hernandez,MLB-NL,Los Angeles,1,San Diego,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odubel Herrera,MLB-NL,Philadelphia,1,Cincinnati,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Jason Heyward,MLB-NL,Chicago,1,Los Angeles,1,5,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Aaron Hill,MLB-NL,Milwaukee,0,San Francisco,1,4,4,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0
Tyler Holt,MLB-NL,Cincinnati,0,Philadelphia,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Howard,MLB-NL,Philadelphia,1,Cincinnati,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nick Hundley,MLB-NL,Colorado,1,Arizona,1,5,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
Cedric Hunter,MLB-NL,Philadelphia,1,Cincinnati,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Chris Iannetta,MLB-AL,Seattle,1,Texas,1,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Raisel Iglesias,MLB-NL,Cincinnati,0,Philadelphia,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ender Inciarte,MLB-NL,Atlanta,0,Washington,1,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Austin Jackson,MLB-AL,Chicago,1,Oakland,1,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Travis Jankowski,MLB-NL,San Diego,0,Los Angeles,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Jay,MLB-NL,San Diego,0,Los Angeles,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Desmond Jennings,MLB-AL,Tampa Bay,0,Toronto,1,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0
Kelly Johnson,MLB-NL,Atlanta,0,Washington,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Adam Jones,MLB-AL,Baltimore,0,Minnesota,1,5,5,0,1,1,0,0,2,0,0,3,0,0,0,0,0,0
Matt Kemp,MLB-NL,San Diego,0,Los Angeles,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Clayton Kershaw,MLB-NL,Los Angeles,1,San Diego,1,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Kevin Kiermaier,MLB-AL,Tampa Bay,0,Toronto,1,4,3,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0
Jake Lamb,MLB-NL,Arizona,0,Colorado,1,4,3,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0
Brett Lawrie,MLB-AL,Chicago,1,Oakland,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Dae-ho Lee,MLB-AL,Seattle,1,Texas,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DJ LeMahieu,MLB-NL,Colorado,1,Arizona,1,3,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Adam Lind,MLB-AL,Seattle,1,Texas,1,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Evan Longoria,MLB-AL,Tampa Bay,0,Toronto,1,5,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Jed Lowrie,MLB-AL,Oakland,0,Chicago,1,4,3,1,1,0,0,0,2,1,0,2,0,0,0,0,0,0
Jonathan Lucroy,MLB-NL,Milwaukee,0,San Francisco,1,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Manny Machado,MLB-AL,Baltimore,0,Minnesota,1,5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Nick Markakis,MLB-NL,Atlanta,0,Washington,1,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Ketel Marte,MLB-AL,Seattle,1,Texas,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonys Martin,MLB-AL,Seattle,1,Texas,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Joe Mauer,MLB-AL,Minnesota,1,Baltimore,1,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Devin Mesoraco,MLB-NL,Cincinnati,0,Philadelphia,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brad Miller,MLB-AL,Tampa Bay,0,Toronto,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Miguel Montero,MLB-NL,Chicago,1,Los Angeles,1,5,5,1,2,0,0,1,3,0,0,2,0,0,0,0,0,0
Mitch Moreland,MLB-AL,Texas,0,Seattle,1,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Logan Morrison,MLB-AL,Tampa Bay,0,Toronto,1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Daniel Murphy,MLB-NL,Washington,1,Atlanta,1,5,3,1,2,1,0,1,2,2,0,1,0,0,0,0,0,0
Wil Myers,MLB-NL,San Diego,0,Los Angeles,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Daniel Nava,MLB-AL,Los Angeles,0,Chicago,1,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Dioner Navarro,MLB-AL,Chicago,1,Oakland,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirk Nieuwenhuis,MLB-NL,Milwaukee,0,San Francisco,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Derek Norris,MLB-NL,San Diego,0,Los Angeles,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rougned Odor,MLB-AL,Texas,0,Seattle,1,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Hector Olivera,MLB-NL,Atlanta,0,Washington,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chris Owings,MLB-NL,Arizona,0,Colorado,1,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Angel Pagan,MLB-NL,San Francisco,1,Milwaukee,1,5,4,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
Joe Panik,MLB-NL,San Francisco,1,Milwaukee,1,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
ByungHo Park,MLB-AL,Minnesota,1,Baltimore,1,4,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Gerardo Parra,MLB-NL,Colorado,1,Arizona,1,5,5,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0
Steve Pearce,MLB-AL,Tampa Bay,0,Toronto,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joc Pederson,MLB-NL,Los Angeles,1,San Diego,1,5,5,1,2,2,0,0,1,0,0,2,0,0,0,0,0,0
Hunter Pence,MLB-NL,San Francisco,1,Milwaukee,1,5,5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
David Peralta,MLB-NL,Arizona,0,Colorado,1,5,5,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0
Wily Peralta,MLB-NL,Milwaukee,0,San Francisco,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Carlos Perez,MLB-AL,Los Angeles,0,Chicago,1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Jace Peterson,MLB-NL,Atlanta,0,Washington,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brandon Phillips,MLB-NL,Cincinnati,0,Philadelphia,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
